"filename", "language", "CMake", "C++", "Markdown", "JavaScript", "JSON", "Ini", "Batch", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.cpp", "C++", 0, 81, 0, 0, 0, 0, 0, 6, 17, 104
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.h", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 9, 33
"e:\qt_project\SyncCanvas\DBClient\loginwidget.cpp", "C++", 0, 151, 0, 0, 0, 0, 0, 27, 41, 219
"e:\qt_project\SyncCanvas\DBClient\loginwidget.h", "C++", 0, 36, 0, 0, 0, 0, 0, 11, 16, 63
"e:\qt_project\SyncCanvas\DBClient\main.cpp", "C++", 0, 24, 0, 0, 0, 0, 0, 2, 6, 32
"e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp", "C++", 0, 180, 0, 0, 0, 0, 0, 53, 46, 279
"e:\qt_project\SyncCanvas\DBClient\mainwindow.h", "C++", 0, 48, 0, 0, 0, 0, 0, 9, 13, 70
"e:\qt_project\SyncCanvas\DBClient\message.grpc.pb.cc", "C++", 0, 224, 0, 0, 0, 0, 0, 3, 47, 274
"e:\qt_project\SyncCanvas\DBClient\message.grpc.pb.h", "C++", 0, 870, 0, 0, 0, 0, 0, 52, 13, 935
"e:\qt_project\SyncCanvas\DBClient\message.pb.cc", "C++", 0, 3522, 0, 0, 0, 0, 0, 317, 302, 4141
"e:\qt_project\SyncCanvas\DBClient\message.pb.h", "C++", 0, 3825, 0, 0, 0, 0, 0, 324, 362, 4511
"e:\qt_project\SyncCanvas\DBClient\newroomdialog.cpp", "C++", 0, 95, 0, 0, 0, 0, 0, 21, 32, 148
"e:\qt_project\SyncCanvas\DBClient\newroomdialog.h", "C++", 0, 28, 0, 0, 0, 0, 0, 0, 13, 41
"e:\qt_project\SyncCanvas\DBClient\paintscene.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 36, 28, 118
"e:\qt_project\SyncCanvas\DBClient\paintscene.h", "C++", 0, 21, 0, 0, 0, 0, 0, 3, 9, 33
"e:\qt_project\SyncCanvas\DBClient\registerwidget.cpp", "C++", 0, 201, 0, 0, 0, 0, 0, 54, 42, 297
"e:\qt_project\SyncCanvas\DBClient\registerwidget.h", "C++", 0, 31, 0, 0, 0, 0, 0, 10, 11, 52
"e:\qt_project\SyncCanvas\DBClient\resetwidget.cpp", "C++", 0, 195, 0, 0, 0, 0, 0, 38, 40, 273
"e:\qt_project\SyncCanvas\DBClient\resetwidget.h", "C++", 0, 31, 0, 0, 0, 0, 0, 1, 11, 43
"e:\qt_project\SyncCanvas\DBClient\singleton.h", "C++", 0, 33, 0, 0, 0, 0, 0, 9, 5, 47
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp", "C++", 0, 222, 0, 0, 0, 0, 0, 33, 46, 301
"e:\qt_project\SyncCanvas\DBClient\tcpmgr.h", "C++", 0, 43, 0, 0, 0, 0, 0, 1, 12, 56
"e:\qt_project\SyncCanvas\DBClient\tipwidget.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 24, 18, 96
"e:\qt_project\SyncCanvas\DBClient\tipwidget.h", "C++", 0, 15, 0, 0, 0, 0, 0, 16, 7, 38
"e:\qt_project\SyncCanvas\DBClient\userdata.cpp", "C++", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\qt_project\SyncCanvas\DBClient\userdata.h", "C++", 0, 17, 0, 0, 0, 0, 0, 10, 3, 30
"e:\qt_project\SyncCanvas\DBClient\usermgr.cpp", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"e:\qt_project\SyncCanvas\DBClient\usermgr.h", "C++", 0, 18, 0, 0, 0, 0, 0, 9, 6, 33
"e:\qt_project\SyncCanvas\DBClient\welcomewidget.cpp", "C++", 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"e:\qt_project\SyncCanvas\DBClient\welcomewidget.h", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 8, 26
"e:\qt_project\SyncCanvas\GateServer\CMakeLists.txt", "CMake", 106, 0, 0, 0, 0, 0, 0, 0, 16, 122
"e:\qt_project\SyncCanvas\GateServer\CMakePresets.json", "JSON", 0, 0, 0, 0, 101, 0, 0, 0, 1, 102
"e:\qt_project\SyncCanvas\GateServer\README.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"e:\qt_project\SyncCanvas\GateServer\config.ini", "Ini", 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"e:\qt_project\SyncCanvas\GateServer\gen_message.bat", "Batch", 0, 0, 0, 0, 0, 0, 23, 10, 8, 41
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\AsioIOServicePool.h", "C++", 0, 25, 0, 0, 0, 0, 0, 4, 11, 40
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\CServer.h", "C++", 0, 23, 0, 0, 0, 0, 0, 1, 0, 24
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\ConfigMgr.h", "C++", 0, 66, 0, 0, 0, 0, 0, 0, 10, 76
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\GateServer.h", "C++", 0, 2, 0, 0, 0, 0, 0, 3, 4, 9
