Date : 2026-02-03 00:33:55
Directory : e:\qt_project\SyncCanvas
Total : 116 files,  35713 codes, 3262 comments, 3644 blanks, all 42619 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\qt_project\SyncCanvas\DBClient\global.h                                      | C++      |         23 |          1 |          3 |         27 |
| e:\qt_project\SyncCanvas\DBClient\joinroomdialog.cpp                            | C++      |         38 |          1 |          9 |         48 |
| e:\qt_project\SyncCanvas\DBClient\joinroomdialog.h                              | C++      |         20 |          0 |         10 |         30 |
| e:\qt_project\SyncCanvas\DBClient\lobbywidget.cpp                               | C++      |         81 |          6 |         17 |        104 |
| e:\qt_project\SyncCanvas\DBClient\lobbywidget.h                                 | C++      |         24 |          0 |          9 |         33 |
| e:\qt_project\SyncCanvas\DBClient\loginwidget.cpp                               | C++      |        131 |         25 |         35 |        191 |
| e:\qt_project\SyncCanvas\DBClient\loginwidget.h                                 | C++      |         15 |          2 |          6 |         23 |
| e:\qt_project\SyncCanvas\DBClient\main.cpp                                      | C++      |          0 |          0 |         -1 |         -1 |
| e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp                                | C++      |         52 |         17 |         12 |         81 |
| e:\qt_project\SyncCanvas\DBClient\mainwindow.h                                  | C++      |         10 |          0 |          0 |         10 |
| e:\qt_project\SyncCanvas\DBClient\message.grpc.pb.cc                            | C++      |        224 |          3 |         47 |        274 |
| e:\qt_project\SyncCanvas\DBClient\message.grpc.pb.h                             | C++      |        870 |         52 |         13 |        935 |
| e:\qt_project\SyncCanvas\DBClient\message.pb.cc                                 | C++      |      3,522 |        317 |        302 |      4,141 |
| e:\qt_project\SyncCanvas\DBClient\message.pb.h                                  | C++      |      3,825 |        324 |        362 |      4,511 |
| e:\qt_project\SyncCanvas\DBClient\newroomdialog.cpp                             | C++      |         95 |         21 |         32 |        148 |
| e:\qt_project\SyncCanvas\DBClient\newroomdialog.h                               | C++      |         28 |          0 |         13 |         41 |
| e:\qt_project\SyncCanvas\DBClient\paintscene.cpp                                | C++      |         54 |         36 |         28 |        118 |
| e:\qt_project\SyncCanvas\DBClient\paintscene.h                                  | C++      |         21 |          3 |          9 |         33 |
| e:\qt_project\SyncCanvas\DBClient\registerwidget.cpp                            | C++      |          2 |          0 |          1 |          3 |
| e:\qt_project\SyncCanvas\DBClient\resetwidget.cpp                               | C++      |        195 |         38 |         40 |        273 |
| e:\qt_project\SyncCanvas\DBClient\resetwidget.h                                 | C++      |         31 |          1 |         11 |         43 |
| e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp                                    | C++      |        222 |         33 |         46 |        301 |
| e:\qt_project\SyncCanvas\DBClient\tcpmgr.h                                      | C++      |         43 |          1 |         12 |         56 |
| e:\qt_project\SyncCanvas\DBClient\tipwidget.cpp                                 | C++      |          7 |          2 |          1 |         10 |
| e:\qt_project\SyncCanvas\DBClient\tipwidget.h                                   | C++      |          1 |          0 |          0 |          1 |
| e:\qt_project\SyncCanvas\DBClient\usermgr.cpp                                   | C++      |         15 |          0 |          4 |         19 |
| e:\qt_project\SyncCanvas\DBClient\usermgr.h                                     | C++      |          4 |          0 |          1 |          5 |
| e:\qt_project\SyncCanvas\GateServer\gen_message.bat                             | Batch    |         12 |          9 |          4 |         25 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\LogicGrpcClient.h        | C++      |          6 |          0 |          0 |          6 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\message.grpc.pb.h        | C++      |        300 |         20 |          0 |        320 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\message.pb.h             | C++      |      1,177 |         93 |        106 |      1,376 |
| e:\qt_project\SyncCanvas\GateServer\src\LogicGrpcClient.cpp                     | C++      |         33 |          7 |          4 |         44 |
| e:\qt_project\SyncCanvas\GateServer\src\LogicSystem.cpp                         | C++      |        104 |          8 |         14 |        126 |
| e:\qt_project\SyncCanvas\GateServer\src\VerifyGrpcClient.cpp                    | C++      |          2 |          0 |          0 |          2 |
| e:\qt_project\SyncCanvas\GateServer\src\message.grpc.pb.cc                      | C++      |         72 |          0 |         12 |         84 |
| e:\qt_project\SyncCanvas\GateServer\src\message.pb.cc                           | C++      |      1,080 |         94 |         95 |      1,269 |
| e:\qt_project\SyncCanvas\LogicServer\CMakeLists.txt                             | CMake    |          2 |          0 |          0 |          2 |
| e:\qt_project\SyncCanvas\LogicServer\config.ini                                 | Ini      |         12 |          0 |          0 |         12 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\LogicServiceImpl.h     | C++      |          7 |          3 |          4 |         14 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlDao.h             | C++      |          3 |          2 |          4 |          9 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlMgr.h             | C++      |          2 |          2 |          1 |          5 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\const.h                | C++      |          2 |          0 |          0 |          2 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\data.h                 | C++      |          9 |          0 |          0 |          9 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\message.grpc.pb.h      | C++      |        300 |         20 |          0 |        320 |
| e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\message.pb.h           | C++      |      1,177 |         93 |        106 |      1,376 |
| e:\qt_project\SyncCanvas\LogicServer\src\LogicServiceImpl.cpp                   | C++      |        133 |         14 |         18 |        165 |
| e:\qt_project\SyncCanvas\LogicServer\src\MysqlDao.cpp                           | C++      |         77 |          8 |         13 |         98 |
| e:\qt_project\SyncCanvas\LogicServer\src\MysqlMgr.cpp                           | C++      |          8 |          1 |          2 |         11 |
| e:\qt_project\SyncCanvas\LogicServer\src\message.grpc.pb.cc                     | C++      |         72 |          0 |         12 |         84 |
| e:\qt_project\SyncCanvas\LogicServer\src\message.pb.cc                          | C++      |      1,080 |         94 |         95 |      1,269 |
| Total                                                                           |          |     35,713 |      3,262 |      3,644 |     42,619 |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
